昆明机场飞行动态,,,,,
,,,,,2017年07月02日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
468,KY8315,B7872,昆明/0720,/,腾冲
469,KY8316,B7872,腾冲/1805,/,昆明
470,KY8321,B6495,昆明/0815,/,成都
471,KY8322,B6495,成都/1045,/,昆明
472,KY8333,B1507,昆明/1000,/,西安
473,KY8334,B1507,西安/2145,/,昆明
474,KY8341,B2667,昆明/0915,/,厦门
475,KY8342,B2667,厦门/1915,/,昆明
476,MF8405,B5602,厦门/0805,/,昆明
477,MF8406,B5602,昆明/1150,/,厦门
478,MF8417,B5029,厦门/1200,/,昆明
479,MF8418,B5029,昆明/1540,/,厦门
480,MF8427,B5551,福州/0805,/,昆明
481,MF8428,B5551,昆明/1220,/,福州
482,MF8429,B5309,厦门/2100,/,昆明
483,MF8430,B5029,昆明/0805,/,厦门
484,MF8461,B6887,武汉/1555,/,昆明
485,MF8462,B6887,昆明/1915,/,武汉
486,MF8475,B5551,福州/1555,/,昆明
487,MF8476,B5306,昆明/2015,/,福州
488,MF847U,B5306,福州/0720,/,昆明
489,MF8641,B5306,珠海/1705,/,昆明
490,MF8642,B5551,昆明/2010,/,珠海
491,MF864X,B5306,昆明/1130,/,珠海
492,MU2003,B7170,昆明/1000,/,首尔
493,MU2004,B7170,首尔/1515,/,昆明
494,MU2029,B5527,昆明/1445,/,曼德勒
495,MU2030,B1908,曼德勒/1315,/,昆明
496,MU2031,B5809,昆明/1400,/,仰光
497,MU2032,B5809,仰光/1725,/,昆明
498,MU2035,B6249,北京/0755,昆明/1300,达卡
499,MU2036,B6249,达卡/1635,昆明/2030,北京
500,MU2143,B5258,太原/0735,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
501,MU2144,B5257,昆明/1840,/,太原
502,MU215,B5941,昆明/0910,/,南京
503,MU2177,B8405,宁波/1415,/,昆明
504,MU2178,B8405,昆明/1825,/,宁波
505,MU2181,B8119,西安/0750,/,昆明
506,MU2182,B8119,昆明/1115,/,西安
507,MU2185,B1608,银川/1515,/,昆明
508,MU2186,B1608,昆明/1905,/,银川
509,MU2205,B1608,银川/0740,/,昆明
510,MU2206,B1608,昆明/1135,/,银川
511,MU2207,B1837,西安/1445,/,昆明
