FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STP,STA,ETA,TDT,ATA,RCP,FSA,SDT,POP,OPE,NAT,FLX,MFF,SST
"MU5942","","MU9741","大理-昆明","DLU","","D","B5282","B737","","","","11:30","12:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5958","","MU5959","临沧-昆明","LNJ","","D","B2640","B737","","","","11:30","12:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"ZH9773","","ZH9774","南昌-昆明","KHN","","D","B6312","A320","","","","9:55","12:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"FM9451","","FM9452","上海-昆明","SHA","","D","B2570","B763","","","","9:00","12:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5842","","MU9751","成都-昆明","CTU","","D","B5515","B738","","","","10:50","12:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5862","","MU2031","重庆-昆明","CKG","","D","B5683","B738","","","","10:55","12:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"KY8322","","KY8361","成都-昆明","CTU","","D","B1507","B738","","","","10:45","12:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2587","","MU2587","北京-昆明","PEK","","D","B6148","B738","","","","8:55","12:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"SC4695","","SC4696","青岛-南京-昆明","TAO","NKG","D","B7885","B738","","","","9:40","12:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9958","","8L9747","武汉-昆明","WUH","","D","B6800","B738","","","","10:20","12:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"ZH9793","","ZH9794","泉州-昆明","JJN","","D","B9939","A320","","","","10:00","12:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ6425","","CZ6426","大连-武汉-昆明","DLC","WUH","D","B1828","A320","","","","10:40","12:43","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9996","","8L9679","银川-昆明","INC","","D","B7993","B738","","","","10:05","12:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"3U8918","","3U8215","厦门-昆明","XMN","","D","B6843","A320","","","","10:05","12:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3482","","CZ3482","大理-昆明","DLU","","D","B6209","A319","","","","12:10","12:58","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5928","","MU5881","文山-昆明","WNH","","D","B5819","B737","","","","11:55","13:00","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5886","","MU9731","湛江-昆明","ZHA","","D","B5821","B737","","","","11:05","13:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5894","","MU5717","普洱-昆明","SYM","","D","B5802","B737","","","","12:00","13:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5453","","MU5454","宁波-武汉-昆明","NGB","WUH","D","B1860","A320","","","","10:50","13:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5882","","MU5732","上海-铜仁-昆明","SHA","TEN","D","B5097","B737","","","","11:35","13:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU9738","","MU5725","天津-昆明","TSN","","D","B7170","B738","","","","9:35","13:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"3U8838","","3U8837","北京-万州-昆明","PEK","WXN","D","B8656","A320","","","","11:40","13:15","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9862","","8L9869","合肥-昆明","HFE","","D","B6015","B738","","","","10:40","13:15","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"JD5157","","JD5158","杭州-昆明","HGH","","D","B8679","A330","","","","10:00","13:15","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"BK2897","","BK2743","天津-昆明","TSN","","D","B5562","B738","","","","9:45","13:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5974","","MU757","芒市-昆明","LUM","","D","B5255","B737","","","","12:15","13:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"3U8710","","3U8637","万象-昆明","VTE","","I","B8329","A320","","","","11:30","13:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2975","","MU2976","无锡-昆明","WUX","","D","B8498","A320","","","","10:15","13:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"TV9893","","TV9819","拉萨-昆明","LXA","","D","B6443","A319","","","","11:00","13:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5826","","MU2029","桂林-昆明","KWL","","D","B5756","B738","","","","12:00","13:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"KY8254","","KY8281","西安-昆明","XIY","","D","B6493","B738","","","","11:20","13:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9932","","8L9985","芒市-昆明","LUM","","D","B1563","B737","","","","12:45","13:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"9C8937","","9C8938","石家庄-昆明","SJW","","D","B6852","A320","","","","10:35","13:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"KY8340","","KY8243","运城-昆明","YCU","","D","B2678","B737","","","","11:15","13:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3247","","CZ3248","桂林-昆明","KWL","","D","B5469","B738","","","","12:20","13:48","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9828","","8L9904","泸沽湖-昆明","NLH","","D","B5823","B737","","","","12:55","13:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5437","","MU5438","上海-南充-昆明","PVG","NAO","D","B6465","A319","","","","12:15","13:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5732","","MU5809","广州-昆明","CAN","","D","B7589","B738","","","","11:15","13:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU755","","MU755","上海-昆明","PVG","","D","B5921","A33E","","","","10:25","13:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"3U8948","","3U8761","济南-昆明","TNA","","D","B1665","A320","","","","10:50","13:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"TG612","","TG613","曼谷-昆明","BKK","","I","","B747","","","","11:10","14:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"ZH9533","","ZH9534","无锡-昆明","WUX","","D","B6569","A320","","","","11:05","14:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5966","","MU2585","沧源-昆明","CWJ","","D","B5245","B737","","","","13:05","14:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3415","","CZ3416","广州-昆明","CAN","","D","B5041","B738","","","","11:35","14:08","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU9731","","MU2599","长沙-昆明","HHA","","D","B5817","B737","","","","12:00","14:10","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"3U8866","","","宁波-昆明","NGB","","D","B6953","A320","","","","11:10","14:15","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CA1487","","CA1488","北京-达县-昆明","PEK","DAX","D","B5213","B737","","","","12:40","14:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CA4276","","CA4275","哈尔滨-昆明","HRB","","D","B6793","A320","","","","9:40","14:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"KA760","","KA761","香港-昆明","HKG","","R","BHSD","A320","","","","11:50","14:20","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ3492","","CZ3492","版纳-昆明","JHG","","D","B2622","B737","","","","13:25","14:23","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5737","","MU5760","大理-昆明","DLU","","D","B5809","B737","","","","13:30","14:25","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5077","","MU5077","合肥-昆明","HFE","","D","B1610","A320","","","","11:40","14:30","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2706","","MU2706","丽江-昆明","LJG","","D","B6456","A319","","","","13:30","14:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5776","","MU5737","广州-昆明","CAN","","D","B1908","B738","","","","12:05","14:35","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ6403","","CZ6404","沈阳-重庆-昆明","SHE","CKG","D","B6739","A320","","","","13:05","14:38","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9866","","8L9883","济南-昆明","TNA","","D","B5359","B738","","","","11:30","14:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9898","","8L9971","温州-昆明","WNZ","","D","B6198","A319","","12","","11:30","14:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"JD5792","","JD5166","芒市-昆明","LUM","","D","B6181","A319","","","","13:40","14:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MF8417","","MF8418","厦门-昆明","XMN","","D","B5383","B738","","","","12:00","14:40","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ6269","","CZ6270","哈尔滨-西安-昆明","HRB","XIY","D","B8847","A32E","","","","12:30","14:43","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"3U8686","","3U8685","哈尔滨-长沙-昆明","HRB","HHA","D","B6718","A321","","","","12:35","14:45","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"CZ6459","","CZ6460","长春-重庆-昆明","CGQ","CKG","D","B6583","A320","","","","13:20","14:48","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"FM9397","","FM9398","上海-长沙-昆明","PVG","HHA","D","B6993","B738","","","","12:50","14:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU2030","","MU713","曼德勒-昆明","MDL","","I","B6149","B738","","","","13:15","14:50","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"DR6580","","","芒市-昆明","LUM","","D","B5829","B737","","","","13:50","14:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"KY8258","","KY8307","郑州-昆明","CGO","","D","B1926","B738","","","","12:10","14:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5505","","MU5588","上海-福州-昆明","PVG","FOC","D","B6002","A320","","","","11:50","14:55","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5830","","MU5781","郑州-昆明","CGO","","D","B5795","B738","","","","12:20","15:00","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"8L9948","","8L9979","成都-昆明","CTU","","D","B6959","A320","","","","13:20","15:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"JD5155","","JD5156","丽江-昆明","LJG","","D","B1622","A320","","","","14:05","15:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
"MU5292","","MU5299","北京-太原-昆明","PEK","TYN","D","B1933","B738","","","","12:10","15:05","","","","","33-计划","2017/7/1","REG","REG","PAX","","","00"
