FLT,VIP,LKF,REG,RFC,VI1,TOF,ITY,TAR,STA,ETA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL,ORG,TDT,ATA,ABP,CAR
ZH9413,,ZH9414,B5362,深圳-昆明,,D,B737,,2017/7/3 16:30,,33-计划,,REG,REG,,PAX,,,0,YAG,SZX,,,,
ZH9411,,ZH9412,B5381,深圳-昆明,,D,B737,144,2017/7/3 9:40,,33-计划,,REG,REG,,PAX,,,0,YAG,SZX,,,,
MF8475,,MF8642,B5382,福州-昆明,,D,B738,,2017/7/3 19:05,,33-计划,,REG,REG,,PAX,,,0,YAG,FOC,,,,
MF8417,,MF8418,B5386,厦门-昆明,,D,B738,157,2017/7/3 14:40,,33-计划,,REG,REG,,PAX,,,0,YAG,XMN,,,,
ZH9451,,,B5400,广州-昆明,,D,B738,,2017/7/3 22:45,,33-计划,,REG,REG,,PAX,,,0,YAG,CAN,,,,
8L9994,,8L9651,B5409,西安-昆明,,D,B738,166,2017/7/3 8:50,,33-计划,,REG,REG,,PAX,,,0,YAG,XIY,,,,
CZ3247,,CZ3248,B5420,桂林-昆明,,D,B738,138,2017/7/3 13:48,,33-计划,,REG,REG,,PAX,,,0,YAG,KWL,,,,
8L9960,,,B5449,宁波-安庆-昆明,AQG,D,B738,,2017/7/3 17:45,,33-计划,,REG,REG,,PAX,,,0,YAG,NGB,,,,
MU2497,,MU2494,B5472,武汉-昆明,,D,B737,132,2017/7/3 10:10,,33-计划,,REG,REG,,PAX,,,0,CES,WUH,,,,
MU5742,,MU9737,B5515,广州-昆明,,D,B738,,2017/7/3 18:50,,33-计划,,REG,REG,,PAX,,,0,CES,CAN,,,,
MU742,,,B5527,曼谷-昆明,,I,B738,,2017/7/3 19:20,,33-计划,,REG,REG,,PAX,,,0,CES,BKK,,,,
MU5740,,MU741,B5527,广州-昆明,,D,B738,103,2017/7/3 10:05,,33-计划,,REG,REG,,PAX,,,0,CES,CAN,,,,
SC4719,,SC4720,B5543,重庆-昆明,,D,B738,,2017/7/3 21:30,,33-计划,,REG,REG,,PAX,,,0,YAG,CKG,,,,
FM9539,,FM9540,B5545,温州-昆明,,D,B738,122,2017/7/3 10:45,,33-计划,,REG,REG,,PAX,,,0,CES,WNZ,,,,
BK2897,,BK2743,B5562,天津-昆明,,D,B738,157,2017/7/3 13:20,,33-计划,,REG,REG,,PAX,,,0,YAG,TSN,,,,
