FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STA,ORG,STP
CZ5319,厦门-昆明,,,B5602,,D,B738,,,33-计划,CSF,2017/7/8,,PAX,,MF8417,SF,2017/7/8 14:40,XMN,2017/7/8 12:00
CZ5329,福州-昆明,,,B5308,,D,B738,,,33-计划,CSF,2017/7/8,,PAX,,MF8427,SF,2017/7/8 11:00,FOC,2017/7/8 8:05
CZ5331,厦门-昆明,,,B5383,,D,B738,,,33-计划,CSF,2017/7/8,,PAX,,MF8429,SF,2017/7/8 23:45,XMN,2017/7/8 21:00
CZ5361,杭州-武汉-昆明,,,B7559,WUH,D,B738,,,33-计划,CSF,2017/7/8,,PAX,,MF8461,SF,2017/7/8 18:15,HGH,2017/7/8 15:55
CZ5375,福州-昆明,,,B5595,,D,B738,,,33-计划,CSF,2017/7/8,,PAX,,MF8475,SF,2017/7/8 19:05,FOC,2017/7/8 15:55
CZ6159,北京-昆明,CZ6160,,B6658,,D,A321,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:28,PEK,2017/7/8 15:10
CZ6269,哈尔滨-西安-昆明,CZ6270,,B8847,XIY,D,A32E,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:43,HRB,2017/7/8 12:30
CZ6293,大连-太原-昆明,CZ6294,,B6896,TYN,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 16:38,DLC,2017/7/8 13:50
CZ6369,郑州-昆明,CZ6369,,B2169,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 15:43,CGO,2017/7/8 13:00
CZ6370,版纳-昆明,CZ6370,,B2169,,D,B737,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 19:53,JHG,2017/7/8 18:55
CZ6403,沈阳-重庆-昆明,CZ6404,,B9931,CKG,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:38,SHE,2017/7/8 13:05
CZ6415,沈阳-西安-昆明,CZ6416,,B6783,XIY,D,A320,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 18:58,SHE,2017/7/8 16:50
CZ6425,大连-武汉-昆明,CZ6426,Y,B9916,WUH,D,A320,136,50,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 12:43,DLC,2017/7/8 10:40
CZ6459,长春-重庆-昆明,CZ6460,,B6897,CKG,D,A322,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 14:48,CGQ,2017/7/8 13:20
CZ6597,三亚-昆明,CZ6598,,B8640,,D,A321,,,33-计划,REG,2017/7/8,,PAX,,,0,2017/7/8 19:58,SYX,2017/7/8 17:50
