FLT,REG,VIP,TAR,ITY,LKF,RFC,ORG,VI1,TOF,STP,ABP,STA,ETA,TDT,FSA,ATA,SDT,RCP,OPE,POP,CAR,NAT,FLX,MFF,SST,HDL
"8L9894","B6015","","","B738","8L9985","珠海-昆明","ZUH","","D","2017/7/10 10:15","","12:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"ZH9773","B6835","","","A320","ZH9774","南昌-昆明","KHN","","D","2017/7/10 10:10","","12:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"CZ3901","B6098","","","A333","CZ3902","北京-昆明","PEK","","D","2017/7/10 9:05","","12:23","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"3U8130","B6453","","","A319","","版纳-昆明","JHG","","D","2017/7/10 11:15","","12:20","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5757","B2502","","","B737","MU5967","芒市-昆明","LUM","","D","2017/7/10 11:15","","12:20","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU5723","B5802","","","B737","MU5919","版纳-昆明","JHG","","D","2017/7/10 11:10","","12:15","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"8L9842","B5292","","","B737","","普洱-昆明","SYM","","D","2017/7/10 11:00","","12:10","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5717","B6146","","","B738","MU5749","北京-昆明","PEK","","D","2017/7/10 8:30","","12:10","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"CA4413","B1853","","","A320","CA4414","成都-昆明","CTU","","D","2017/7/10 10:30","","12:05","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"3U8529","B1665","","","A320","3U8530","杭州-昆明","HGH","","D","2017/7/10 9:00","","12:05","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"GS7855","B8659","","","A330","GS7856","天津-昆明","TSN","","D","2017/7/10 8:25","","12:05","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"DR6508","B6110","","","B737","DR6501","芒市-昆明","LUM","","D","2017/7/10 10:55","","12:00","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5743","B5276","","","B737","MU5743","保山-昆明","BSD","","D","2017/7/10 10:55","","12:00","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"SC4873","B1931","","","B738","SC4874","烟台-济南-昆明","YNT","TNA","D","2017/7/10 8:50","","12:00","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"KY8308","B6492","","","B738","KY8275","南昌-昆明","KHN","","D","2017/7/10 9:40","","11:55","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"KY8256","B7870","","","B737","KY8231","临沧-昆明","LNJ","","D","2017/7/10 10:55","","11:50","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"HO1121","B6963","","","A320","HO1122","上海-昆明","SHA","","D","2017/7/10 8:35","","11:50","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU9744","B5267","","","B737","MU733","北京-昭通-昆明","PEK","ZAT","D","2017/7/10 10:50","","11:45","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"PN6394","B9949","","","A320","PN6394","版纳-昆明","JHG","","D","2017/7/10 10:45","","11:45","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"FM9453","B5261","","","B737","FM9453","上海-昆明","SHA","","D","2017/7/10 8:15","","11:45","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"TV6007","B8843","","","A320","TV6008","兰州-丽江-昆明","ZGC","LJG","D","2017/7/10 8:05","","11:45","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"DR6510","B5830","","","B737","DR6515","版纳-昆明","JHG","","D","2017/7/10 10:35","","11:40","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU2570","B1791","","","B738","MU2570","清迈-昆明","CNX","","I","2017/7/10 9:30","","11:40","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU2569","B6249","","","B738","MU2569","北京-昆明","PEK","","D","2017/7/10 8:05","","11:40","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"HU7211","B2729","","","B787","HU7212","北京-昆明","PEK","","D","2017/7/10 8:10","","11:35","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU9756","B5225","","","B737","MU5981","保山-昆明","BSD","","D","2017/7/10 10:25","","11:30","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU2035","B6143","","","B738","MU2035","北京-昆明","PEK","","D","2017/7/10 7:55","","11:30","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"UO273","BLPF","","","A320","UO274","香港-昆明","HKG","","R","2017/7/10 7:50","","11:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"FD582","HSBBE","","","A320","FD583","廊曼-昆明","DMK","","I","2017/7/10 7:50","","11:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5741","B6141","","312","B737","MU2571","版纳-昆明","JHG","","D","2017/7/10 10:15","","11:20","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"JD5789","B8170","","","A320","JD5790","版纳-昆明","JHG","","D","2017/7/10 10:05","","11:20","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"DR6570","B1597","","","B738","DR6537","北海-昆明","BHY","","D","2017/7/10 9:45","","11:20","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"ZH9561","B5360","","","B737","ZH9562","南京-昆明","NKG","","D","2017/7/10 8:20","","11:10","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"CA1955","B8429","","","A320","CA1752","温州-昆明","WNZ","","D","2017/7/10 8:00","","11:10","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"UW9938","B2330","","","A306","UW9937","马德拉斯-昆明","MAA","","I","2017/7/10 7:10","","11:10","","","33-计划","","2017/7/10","","REG","REG","","CGO","","","00","YAG"
"ZH9265","B6749","","","A320","ZH9266","西安-昆明","XIY","","D","2017/7/10 8:35","","11:05","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5811","B5817","","","B737","MU5764","迪庆-昆明","DIG","","D","2017/7/10 9:50","","11:00","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MF8427","B5602","","","B738","MF8428","福州-昆明","FOC","","D","2017/7/10 8:05","","11:00","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"CZ3857","B5746","","","B738","CZ3858","汕头-昆明","SWA","","D","2017/7/10 8:40","","10:58","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"KY8220","B5673","","","B738","KY8203","深圳-昆明","SZX","","D","2017/7/10 8:30","","10:55","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"3U8723","B6388","","","A320","3U8221","北京-昆明","PEK","","D","2017/7/10 7:20","","10:55","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"CZ3677","B6702","","","A320","CZ3678","上海-昆明","PVG","","D","2017/7/10 7:40","","10:53","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MF8405","B5038","","","B737","MF8406","厦门-昆明","XMN","","D","2017/7/10 8:05","","10:50","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5497","B9901","","","A320","MU5498","青岛-昆明","TAO","","D","2017/7/10 7:10","","10:50","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"KY8252","B7871","","","B737","KY8209","保山-昆明","BSD","","D","2017/7/10 9:40","","10:45","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"FM9539","B5140","","","B738","FM9540","温州-昆明","WNZ","","D","2017/7/10 7:40","","10:45","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"9C8953","B8647","","","A320","9C8954","上海-昆明","SHA","","D","2017/7/10 7:25","","10:45","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"CZ3409","B6685","","","A321","CZ3410","广州-昆明","CAN","","D","2017/7/10 8:20","","10:43","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5962","B2503","","","B737","MU9713","临沧-昆明","LNJ","","D","2017/7/10 9:45","","10:40","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"JD5165","B6178","","","A319","JD5791","丽江-昆明","LJG","","D","2017/7/10 9:40","","10:40","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5892","B5097","","","B737","MU5740","普洱-昆明","SYM","","D","2017/7/10 9:30","","10:35","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"FM9541","B5185","","","B738","FM9542","郑州-昆明","CGO","","D","2017/7/10 7:50","","10:35","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"CZ3491","B2169","","","B737","CZ3491","郑州-昆明","CGO","","D","2017/7/10 7:55","","10:33","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU2143","B5258","","","B737","MU5462","太原-昆明","TYN","","D","2017/7/10 7:35","","10:30","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"MU2705","B6463","","","A319","MU2705","南京-昆明","NKG","","D","2017/7/10 7:30","","10:30","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"CA1751","B6023","","","A319","CA1956","杭州-昆明","HGH","","D","2017/7/10 7:25","","10:30","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"GS7653","B9983","","","A320","GS7654","西安-昆明","XIY","","D","2017/7/10 8:05","","10:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"HU7163","B5141","","","B738","HU7164","深圳-昆明","SZX","","D","2017/7/10 7:55","","10:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU2205","B1641","","","A320","MU2206","银川-昆明","INC","","D","2017/7/10 7:40","","10:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"CA1403","B6498","","","B738","CA1404","北京-昆明","PEK","","D","2017/7/10 7:00","","10:25","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"CZ3459","B2391","","","A320","CZ3460","深圳-昆明","SZX","","D","2017/7/10 8:00","","10:23","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
"MU5946","B6142","","","B737","MU5965","澜沧-昆明","JMJ","","D","2017/7/10 9:20","","10:20","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","CES"
"8L9850","B5825","","","B737","8L9904","迪庆-昆明","DIG","","D","2017/7/10 9:05","","10:10","","","33-计划","","2017/7/10","","REG","REG","","PAX","","","00","YAG"
