FLT,VIP,LKF,RFC,ORG,VI1,TOF,REG,ITY,TAR,CAR,ABP,STA,ETA,TDT,ATA,FSA,SDT,OPE,POP,RCP,NAT,FLX,MFF,SST,HDL
"DR6530","","","呼和-太原-昆明","HET","TYN","D","B7866","B738","","","","17:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KY8314","","KY8269","腾冲-昆明","TCZ","","D","B1459","B737","","","","17:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"TV9820","","TV9894","芒市-昆明","LUM","","D","B6467","A319","","","","17:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9624","","8L9975","杭州-昆明","HGH","","D","B6959","A320","","","","17:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KY8296","","KY8285","南通-重庆-昆明","NTG","CKG","D","B6492","B738","","","","17:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9858","","8L9801","腾冲-昆明","TCZ","","D","B5810","B737","","","","18:00","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"3U8260","","","南京-昆明","NKG","","D","B1820","A320","","","","18:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"9C8961","","9C8962","上海-黔江-昆明","SHA","JIQ","D","B1628","A320","","","","18:10","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ6159","","CZ6160","北京-昆明","PEK","","D","B6629","A321","","","","18:13","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ6799","","CZ6800","上海-昆明","PVG","","D","B6681","A320","","","","18:13","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MF8461","","MF8462","杭州-武汉-昆明","HGH","WUH","D","B5635","B738","","","","18:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","03","YAG"
"MI916","","MI915","新加坡-昆明","SIN","","I","9VMGE","B738","","","","18:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"ZH9531","","ZH9532","无锡-昆明","WUX","","D","B5773","B738","","","","18:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5990","","","重庆-昭通-昆明","CKG","ZAT","D","B5243","B737","","","","18:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"EU2722","","EU2225","厦门-柳州-昆明","XMN","LZH","D","B6163","A319","","","","18:25","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"HU7235","","HU7236","广州-昆明","CAN","","D","B5138","B738","","","","18:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU2735","","MU2736","南京-长沙-昆明","NKG","HHA","D","B6759","A320","","","","18:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"CA1753","","CA1754","杭州-昆明","HGH","","D","B6022","A319","","","","18:35","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"MU746","Y","MU5855","金边-南宁-昆明","PNH","NNG","M","B1703","B738","","","","18:35","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"HO1019","","HO1020","杭州-大庸-昆明","HGH","DYG","D","B6602","A320","","","","18:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU2574","","MU2574","万象-昆明","VTE","","I","B1792","B738","","","","18:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"MU5742","","MU5847","广州-昆明","CAN","","D","B1790","B738","","","","18:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"GS7875","","GS7876","天津-西安-昆明","TSN","XIY","D","B8776","A330","","","","18:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU2985","","MU2986","无锡-重庆-昆明","WUX","CKG","D","B2220","A320","","","","18:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"CZ6415","","CZ6416","沈阳-西安-昆明","SHE","XIY","D","B6785","A320","","","","18:58","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"3U8670","","3U8823","石家庄-成都-昆明","SJW","CTU","D","B6772","A320","","","","19:00","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"KY8204","","KY8219","南京-昆明","NKG","","D","B5673","B738","","","","19:00","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU2568","","MU2568","曼德勒-昆明","MDL","","I","B6149","B738","","","","19:00","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"MF8475","","MF8642","福州-昆明","FOC","","D","B5382","B738","","","","19:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","03","YAG"
"MF8641","","MF8476","泉州-珠海-昆明","JJN","ZUH","D","B6483","B738","","","","19:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ3488","","CZ3488","丽江-昆明","LJG","","D","B6242","A319","","","","19:08","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"HU7111","","HU7112","北京-昆明","PEK","","D","B2738","B787","","","","19:10","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"KY8316","","KY8249","腾冲-昆明","TCZ","","D","B7872","B737","","","","19:10","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CA1401","","CA1402","天津-昆明","TSN","","D","B7182","B738","","","","19:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"MU5763","","MU5706","大理-昆明","DLU","","D","B5265","B737","","","","19:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"MU9737","","MU5712","芒市-昆明","LUM","","D","B5270","B737","","","","19:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"CA1937","","CA1938","上海-昆明","PVG","","D","B6918","A320","","","","19:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU742","","MU5915","曼谷-昆明","BKK","","I","B5809","B737","","","","19:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"NS3269","","NS3270","石家庄-昆明","SJW","","D","B1930","B738","","","","19:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ6561","","CZ6562","义乌-昆明","YIW","","D","B5156","B738","","","","19:23","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"DR6504","","DR6579","芒市-昆明","LUM","","D","B5829","B737","","","","19:40","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5718","","MU5812","普洱-昆明","SYM","","D","B5816","B737","","","","19:40","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"MU2032","","","仰光-昆明","RGN","","I","B5647","B738","","","","19:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"MU5758","","MU5718","深圳-昆明","SZX","","D","B1791","B738","","","","19:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"MU5724","","MU9737","西安-昆明","XIY","","D","B7170","B738","","","","19:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"CZ3863","","CZ3864","汕头-南宁-昆明","SWA","NNG","D","B5719","B738","","","","19:53","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ6370","","CZ6370","版纳-昆明","JHG","","D","B2622","B737","","","","19:53","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ6597","","CZ6598","三亚-昆明","SYX","","D","B8425","A321","","","","19:58","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"8L9648","","8L9987","天津-淮安-昆明","TSN","HIA","D","B8446","A320","","","","20:00","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CA1987","","CA1988","温州-昆明","WNZ","","D","B6733","A320","","","","20:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"SC4737","","SC4738","青岛-昆明","TAO","","D","B1985","B738","","","","20:05","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ3452","","CZ3452","丽江-昆明","LJG","","D","B6813","A320","","","","20:08","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5952","","MU5724","腾冲-昆明","TCZ","","D","B5225","B737","","","","20:10","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"8L9888","","8L9993","上海-宜春-昆明","SHA","YIC","D","B5409","B738","","","","20:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5800","","","大连-洛阳-昆明","DLC","LYA","D","B5267","B737","","","","20:15","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"MU5818","","MU5733","上海-兴义-昆明","SHA","ACX","D","B1907","B738","","","","20:20","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","CES"
"CZ3467","","CZ3468","长沙-昆明","HHA","","D","B6263","A320","","","","20:23","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ3747","","CZ3748","珠海-昆明","ZUH","","D","B5165","B738","","","","20:28","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5926","","MU5920","丽江-昆明","LJG","","D","B5245","B737","","","","20:30","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","CES"
"CZ6977","","CZ6978","武汉-昆明","WUH","","D","B1921","B738","","","","20:43","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"MU5850","","","成都-昆明","CTU","","D","B7599","B738","","","","20:45","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","CES"
"3U8222","","","福州-南宁-昆明","FOC","NNG","D","B1881","A320","","","","20:50","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"OQ2357","","OQ2358","重庆-昆明","CKG","","D","B1827","A320","","","","20:53","","","","33-计划","2017/6/30","REG","REG","","PAX","","","01","YAG"
"KY8244","","KY8247","普洱-昆明","SYM","","D","B2679","B737","","","","20:55","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
"CZ3489","","CZ3490","广州-昆明","CAN","","D","B6826","A320","","","","20:58","","","","33-计划","2017/6/30","REG","REG","","PAX","","","00","YAG"
