FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STD,DES
MU5576,昆明-郑州-烟台,B2338,,MU5575,CGO,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 18:25,YNT
MU5588,昆明-福州-上海,B9906,,MU5505,FOC,A321,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 16:05,PVG
MU5618,昆明-南昌,B6009,,MU5617,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 22:20,KHN
MU5645,昆明-版纳,B6797,,MU5645,,A322,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 18:55,JHG
MU5646,昆明-杭州,B6797,,MU5646,,A322,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 23:00,HGH
MU5656,昆明-杭州,B6870,,MU5712,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 21:15,HGH
MU5706,昆明-版纳,B5265,,MU5884,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 23:25,JHG
MU5707,昆明-北京,B7170,Y,MU5830,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,1,CES,2017/6/27 16:00,PEK
MU5711,昆明-北京,B6870,,MU5655,,A320,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 11:50,PEK
MU5712,昆明-芒市,B5231,,MU9737,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 21:35,LUM
MU5713,昆明-北京,B7590,,MU5850,,B738,512,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 8:30,PEK
MU5714,昆明-普洱,B6141,,MU5940,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 18:35,SYM
MU5715,昆明-北京,B6147,,MU784,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 20:10,PEK
MU5717,昆明-腾冲,B5802,,MU5757,,B737,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 13:40,TCZ
MU5718,昆明-北京,B1790,,MU5758,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 21:00,PEK
MU5719,昆明-北京,B7592,,MU5802,,B738,,D,33-计划,REG,REG,,PAX,2017/6/27,,,0,CES,2017/6/27 17:20,PEK
