FLT,VIP,TAR,LKF,RFC,VI1,DES,TOF,REG,ITY,GAT,CID,MP1,STD,ETD,ABT,ATD,FSA,SDT,EAN,POP,OPE,RCP,NAT,FLX,MFF,SST
"UW9937","","","UW9938","昆明-马德拉斯","","MAA","I","B2330","A306","","","","0:10","","","","33-计划","2017/7/11","","REG","REG","","CGO","","","00"
"DZ6313","","","DZ6311","昆明-长沙-南通","HHA","NTG","D","B6981","B738","","","","9:45","","","","33-计划","2017/7/10","11:24","REG","REG","","PAX","","","00"
"3U8033","","","3U8108","昆明-丽江","","LJG","D","B8329","A320","","","","6:55","","","","33-计划","2017/7/10","","REG","REG","","PAX","","","00"
"3U8227","","","3U8661","昆明-南京-长春","NKG","CGQ","D","B6347","A320","","","","11:20","","","","33-计划","2017/7/10","13:37","REG","REG","","PAX","","","00"
"MU2567","","","MU2567","昆明-曼德勒","","MDL","I","B5527","B738","","J06-J06","","10:30","","","","33-计划","2017/7/10","11:46","REG","REG","","PAX","","","00"
"MU2568","","","MU2568","昆明-广州","","CAN","D","B5515","B738","","","","21:55","","","","33-计划","2017/7/10","23:37","REG","REG","","PAX","","","00"
"MU2569","","","MU2569","昆明-清迈","","CNX","I","B6249","B738","","H14-H15","","14:30","","","","33-计划","2017/7/10","16:25","REG","REG","","PAX","","","00"
"MU2570","","","MU2570","昆明-北京","","PEK","D","B1791","B738","","","","16:00","","","","33-计划","2017/7/10","19:25","REG","REG","","PAX","","","00"
"MU5725","","","MU5842","昆明-乌鲁","","URC","D","B7170","B738","","","","14:25","","","","33-计划","2017/7/10","18:31","REG","REG","","PAX","","","00"
"MU5825","","","MU5804","昆明-桂林","","KWL","D","B5054","B737","","","","9:25","","","","33-计划","2017/7/10","10:55","REG","REG","","PAX","","","00"
"MU5833","","","MU5737","昆明-兰州","","ZGC","D","B5097","B737","","","","16:55","","","","33-计划","2017/7/10","19:20","REG","REG","","PAX","","","00"
"MU5945","","713","MU5916","昆明-澜沧","","JMJ","D","B6142","B737","","","","7:40","","","","33-计划","2017/7/10","8:32","REG","REG","","PAX","","","00"
"MU5965","","","MU5946","昆明-沧源","","CWJ","D","B6142","B737","","","","11:25","","","","33-计划","2017/7/10","12:13","REG","REG","","PAX","","","00"
"MU7181","","506","MU2032","昆明-北京","","PEK","D","B5756","B738","","","","9:30","","","","33-计划","2017/7/10","13:00","REG","REG","","PAX","","","00"
"MU7184","","","MU5461","昆明-北京","","PEK","D","B5258","B737","","","","21:15","","","","33-计划","2017/7/10","0:35","REG","REG","","PAX","","","00"
"MU9751","","","MU5720","昆明-北京","","PEK","D","B5921","A33E","","","","14:00","","","","33-计划","2017/7/10","16:58","REG","REG","","PAX","","","00"
"MU9755","","","MU5906","昆明-保山","","BSD","D","B5225","B737","","","","8:30","","","","33-计划","2017/7/10","9:18","REG","REG","","PAX","","","00"
"BDJ275","","","BDJ273","昆明-银川","","INC","D","B8273","G550","","","","14:00","","","","33-计划","2017/7/10","","REG","REG","","SPE","","","00"
"QSR303","","537","QSR302","昆明-北京","","PEK","D","B3373","CL85","","","","14:00","","","","33-计划","2017/7/10","","REG","REG","","SPE","","","00"
