FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,STD,SDT,EAN,TAR,GAT,CID,MP1,ETD,ABT,ATD,FSA,POP,OPE,RCP,NAT,FLX,MFF,SST
DR6533,,DR6570,昆明-武汉,,WUH,D,B7867,B738,2017/6/24 7:20,2017/6/24,9:09,718,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8255,,KY8316,昆明-临沧,,LNJ,D,B7870,B737,2017/6/24 8:50,2017/6/24,9:33,526L,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8231,,KY8256,昆明-丽江,,LJG,D,B7870,B737,2017/6/24 16:40,2017/6/24,17:33,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8315,,KY8232,昆明-腾冲,,TCZ,D,B7871,B737,2017/6/24 7:20,2017/6/24,8:13,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8249,,KY8316,昆明-丽江,,LJG,D,B7871,B737,2017/6/24 20:10,2017/6/24,21:04,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8251,,KY8210,昆明-保山,,BSD,D,B7872,B737,2017/6/24 7:55,2017/6/24,8:45,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8209,,KY8252,昆明-版纳,,JHG,D,B7872,B737,2017/6/24 12:55,2017/6/24,13:44,,,,,,,,33-计划,REG,REG,,PAX,,,0
KY8333,,KY8296,昆明-西安-大连,XIY,DLC,D,B7873,B738,2017/6/24 9:50,2017/6/24,11:42,525L,,,,,,,33-计划,REG,REG,,PAX,,,0
SC4738,,SC4737,昆明-青岛,,TAO,D,B7975,B738,2017/6/24 20:55,2017/6/24,23:56,,,,,,,,33-计划,REG,REG,,PAX,,,0
SC4860,,SC4859,昆明-青岛,,TAO,D,B7976,B738,2017/6/24 6:55,2017/6/24,10:02,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9955,,8L9948,昆明-郑州,,CGO,D,B7988,B738,2017/6/24 21:55,2017/6/24,0:07,,,,,,,,33-计划,REG,REG,,PAX,,,1
8L9947,,8L9994,昆明-成都,,CTU,D,B7988,B738,2017/6/24 10:25,2017/6/24,11:28,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9855,,8L9652,昆明-绵阳,,MIG,D,B7989,B738,2017/6/24 15:55,2017/6/24,17:13,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9557,,8L9888,昆明-锦州-哈尔滨,JNZ,HRB,D,B7990,B738,2017/6/24 6:10,2017/6/24,9:47,532,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9555,,8L9558,昆明-海口,,HAK,D,B7990,B738,2017/6/24 23:10,2017/6/24,0:39,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9891,,8L9870,昆明-武汉-大连,WUH,DLC,D,B7991,B738,2017/6/24 10:00,2017/6/24,11:49,712,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9965,,8L9974,昆明-三亚,,SYX,D,B7992,B738,2017/6/24 7:15,2017/6/24,8:56,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9679,,8L9966,昆明-槟城,,PEN,I,B7992,B738,2017/6/24 15:55,2017/6/24,,,,,,,,,33-计划,REG,REG,,PAX,,,0
MU2756,,MU2756,昆明-南京,,NKG,D,B8017,A319,2017/6/24 10:40,2017/6/24,12:59,,,,,,,,33-计划,REG,REG,,PAX,,,0
GS7662,,GS7661,昆明-西安,,XIY,D,B8062,A320,2017/6/24 22:50,2017/6/24,0:37,,,,,,,,33-计划,REG,REG,,PAX,,,0
JD5790,,JD5789,昆明-版纳,,JHG,D,B8171,A320,2017/6/24 12:20,2017/6/24,13:07,,,,,,,,33-计划,REG,REG,,PAX,,,0
HO1096,,HO1095,昆明-毕节-上海,BFJ,SHA,D,B8235,A320,2017/6/24 18:40,2017/6/24,19:24,,,,,,,,33-计划,REG,REG,,PAX,,,0
A67107,,A67106,昆明-郑州,,CGO,D,B8285,A321,2017/6/24 18:25,2017/6/24,20:39,,,,,,,,33-计划,REG,REG,,PAX,,,0
A67105,,A67108,昆明-南昌,,KHN,D,B8318,A321,2017/6/24 9:40,2017/6/24,11:33,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8709,,3U8824,昆明-万象,,VTE,I,B8329,A320,2017/6/24 8:50,2017/6/24,10:03,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8107,,3U8710,昆明-常州-青岛,CZX,TAO,D,B8329,A320,2017/6/24 14:05,2017/6/24,16:23,,,,,,,,33-计划,REG,REG,,PAX,,,0
3U8837,,3U8838,昆明-万州-北京,WXN,PEK,D,B8331,A320,2017/6/24 14:15,2017/6/24,15:42,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA1988,,CA1987,昆明-温州,,WNZ,D,B8337,A320,2017/6/24 21:10,2017/6/24,23:31,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA4275,,CA4276,昆明-哈尔滨,,HRB,D,B8338,A320,2017/6/24 15:35,2017/6/24,19:44,,,,,,,,33-计划,REG,REG,,PAX,,,0
ZH9456,,ZH9455,昆明-广州,,CAN,D,B8413,A320,2017/6/24 22:45,2017/6/24,0:24,,,,,,,,33-计划,REG,REG,,PAX,,,0
TV6008,,TV6007,昆明-丽江-兰州,LJG,ZGC,D,B8419,A320,2017/6/24 13:20,2017/6/24,14:14,,,,,,,,33-计划,REG,REG,,PAX,,,0
CA1752,,CA1955,昆明-杭州,,HGH,D,B8429,A320,2017/6/24 12:20,2017/6/24,14:44,,,,,,,,33-计划,REG,REG,,PAX,,,1
8L9883,,8L9874,昆明-南京,,NKG,D,B8445,A320,2017/6/24 18:00,2017/6/24,20:18,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9873,,8L9986,昆明-赣州-杭州,KOW,HGH,D,B8445,A320,2017/6/24 7:00,2017/6/24,9:03,,,,,,,,33-计划,REG,REG,,PAX,,,0
8L9987,,8L9648,昆明-北京,,PEK,D,B8446,A320,2017/6/24 21:30,2017/6/24,0:27,,,,,,,,33-计划,REG,REG,,PAX,,,1
8L9647,,8L9976,昆明-淮安-天津,HIA,TSN,D,B8446,A320,2017/6/24 7:10,2017/6/24,9:49,,,,,,,,33-计划,REG,REG,,PAX,,,0
