FLT,RFC,LKF,VIP,REG,VI1,TOF,ITY,TAR,GAT,FSA,POP,SDT,RCP,NAT,FLX,MFF,SST,STD,DES,CID,MP1,ETD,ABT,ATD,EAN,STN
HU7212,昆明-北京,HU7211,,B7880,,D,B789,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 12:55,PEK,,,,,,2017/7/11 15:46,2017/7/11 16:15
HU7236,昆明-广州,HU7235,,B2647,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 22:20,CAN,,,,,,2017/7/11 23:59,2017/7/12 0:40
HU7312,昆明-北京,HU7311,,B5636,,D,B738,,,33-计划,REG,2017/7/11,,PAX,,,0,2017/7/11 7:10,PEK,,,,,,2017/7/11 10:07,2017/7/11 10:35
HU9906,昆明-版纳,,,B5292,,D,B737,,,33-计划,CSF,2017/7/11,,PAX,,8L9906,SF,2017/7/11 23:45,JHG,,,,,,2017/7/12 0:32,2017/7/12 0:45
HU9931,昆明-芒市,,,B5825,,D,B737,,,33-计划,CSF,2017/7/11,,PAX,,8L9931,SF,2017/7/11 17:30,LUM,,,,,,2017/7/11 18:20,2017/7/11 18:35
HU9945,昆明-成都,,,B5805,,D,B737,,,33-计划,CSF,2017/7/11,,PAX,,8L9945,SF,2017/7/11 23:55,CTU,,,,,,2017/7/12 0:58,2017/7/12 1:30
HU9955,昆明-郑州,,,B1587,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,8L9955,SF,2017/7/11 22:00,CGO,,,,,,2017/7/12 0:12,2017/7/12 0:45
HU9973,昆明-郑州,,,B5732,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,8L9973,SF,2017/7/11 7:05,CGO,,,,,,2017/7/11 9:20,2017/7/11 9:45
HU9979,昆明-深圳,,,B6800,,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,8L9979,SF,2017/7/11 16:20,SZX,,,,,,2017/7/11 18:03,2017/7/11 18:30
HU9987,昆明-北京,,,B6943,,D,A320,,,33-计划,CSF,2017/7/11,,PAX,,8L9987,SF,2017/7/11 21:30,PEK,,,,,,2017/7/12 0:27,2017/7/12 1:00
HU9991,昆明-兰州-乌鲁,,,B7993,ZGC,D,B738,,,33-计划,CSF,2017/7/11,,PAX,,8L9991,SF,2017/7/11 10:45,URC,,,,,,2017/7/11 12:40,2017/7/11 13:15
