FLT,VIP,LKF,RFC,VI1,DES,TOF,REG,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST
"8L9519","","8L9884","昆明-芒市","","LUM","D","B5292","B737","538","","A01-C10","","11:05","","","","33-计划","","2017/6/28","11:55","REG","REG","PAX","","","00"
"8L9921","","8L9905","昆明-沧源","","CWJ","D","B1563","B737","","","A01-C10","","11:05","","","","33-计划","","2017/6/28","11:49","REG","REG","PAX","","","00"
"MU5739","","MU5711","昆明-广州","","CAN","D","B5295","B737","","","E11-H20","","11:05","","","","33-计划","","2017/6/28","12:48","REG","REG","PAX","","","00"
"MU5835","","MU5764","昆明-汕头","","SWA","D","B1703","B738","","","E11-H20","","11:10","","","","33-计划","","2017/6/28","13:15","REG","REG","PAX","","","00"
"MU2182","","MU2181","昆明-西安","","XIY","D","B9905","A321","","","E11-H20","","11:15","","","","33-计划","","2017/6/28","13:07","REG","REG","PAX","","","00"
"MU2494","","MU2497","昆明-武汉-温州","WUH","WNZ","D","B7876","B738","","","E11-H20","","11:20","","","","33-计划","","2017/6/28","13:09","REG","REG","PAX","","","00"
"SC4770","","SC4769","昆明-厦门","","XMN","D","B1510","B738","","","D01-E10","","11:20","","","","33-计划","","2017/6/28","13:36","REG","REG","PAX","","","00"
"3U8259","","3U8661","昆明-南京","","NKG","D","B1881","A320","","","C16-C20","","11:20","","","","33-计划","","2017/6/28","13:35","REG","REG","PAX","","","00"
"HU7164","","HU7163","昆明-深圳","","SZX","D","B5620","B738","","","D01-E10","","11:25","","","","33-计划","","2017/6/28","13:06","REG","REG","PAX","","","00"
"MU5989","","MU5892","昆明-昭通-重庆","ZAT","CKG","D","B5271","B737","","","E11-H20","","11:25","","","","33-计划","","2017/6/28","11:58","REG","REG","PAX","","","00"
"MU5965","","MU5946","昆明-沧源","","CWJ","D","B5259","B737","","","E11-H20","","11:25","","","","33-计划","","2017/6/28","12:12","REG","REG","PAX","","","00"
"MU2705","","MU2705","昆明-丽江","","LJG","D","B6472","A319","","","E11-H20","","11:30","","","","33-计划","","2017/6/28","12:24","REG","REG","PAX","","","00"
"CZ3460","","CZ3459","昆明-深圳","","SZX","D","B2396","A320","","","D01-E10","","11:35","","","","33-计划","","2017/6/28","13:14","REG","REG","PAX","","","00"
"CZ3491","","CZ3491","昆明-版纳","","JHG","D","B2620","B737","","","D01-E10","","11:35","","","","33-计划","","2017/6/28","12:20","REG","REG","PAX","","","00"
"MU2206","","MU2205","昆明-银川","","INC","D","B6877","A320","","","E11-H20","","11:35","","","","33-计划","","2017/6/28","13:54","REG","REG","PAX","","","00"
"MU5462","","MU2143","昆明-温州","","WNZ","D","B2682","B737","","","E11-H20","","11:35","","","","33-计划","","2017/6/28","14:06","REG","REG","PAX","","","00"
"CA1404","","CA1403","昆明-北京","","PEK","D","B7180","B738","","","D01-E10","","11:40","","","","33-计划","","2017/6/28","14:37","REG","REG","PAX","","","00"
"GS7654","","GS7653","昆明-西安","","XIY","D","B8062","A320","","","D01-E10","","11:40","","","","33-计划","","2017/6/28","13:26","REG","REG","PAX","","","00"
"MU2496","","MU2495","昆明-成都","","CTU","D","B5731","B738","","","E11-H20","","11:40","","","","33-计划","","2017/6/28","12:44","REG","REG","PAX","","","00"
"3U8221","","3U8723","昆明-南宁-福州","NNG","FOC","D","B1665","A320","","","C16-C20","","11:45","","","","33-计划","","2017/6/28","12:49","REG","REG","PAX","","","00"
"JD5791","","JD5165","昆明-芒市","","LUM","D","B6182","A319","","","D01-E10","","11:45","","","","33-计划","","2017/6/28","12:35","REG","REG","PAX","","","00"
"FM9542","","FM9541","昆明-郑州","","CGO","D","B2688","B738","","","E11-H20","","11:50","","","","33-计划","","2017/6/28","14:04","REG","REG","PAX","","","00"
"MF8406","","MF8405","昆明-厦门","","XMN","D","B5847","B738","","","D01-E10","","11:50","","","","33-计划","","2017/6/28","14:04","REG","REG","PAX","","","00"
"MU5711","","MU5655","昆明-北京","","PEK","D","B6870","A320","","","E11-H20","","11:50","","","","33-计划","","2017/6/28","14:50","REG","REG","PAX","","","00"
"MU5740","","MU5811","昆明-大理","","DLU","D","B6142","B737","","","E11-H20","","11:50","","","","33-计划","","2017/6/28","12:34","REG","REG","PAX","","","00"
"8L9991","","8L9994","昆明-兰州-乌鲁","ZGC","URC","D","B1798","B738","","","A01-C10","","11:55","","","","33-计划","","2017/6/28","13:50","REG","REG","PAX","","","00"
"CZ3410","","CZ3409","昆明-广州","","CAN","D","B9932","A320","","","D01-E10","","11:55","","","","33-计划","","2017/6/28","13:35","REG","REG","PAX","","","00"
"MU5475","","MU5476","昆明-合肥","","HFE","D","B6802","A320","","","E11-H20","","11:55","","","","33-计划","","2017/6/28","14:06","REG","REG","PAX","","","00"
"MU5498","","MU5497","昆明-青岛","","TAO","D","B2413","A320","","","E11-H20","","11:55","","","","33-计划","","2017/6/28","14:57","REG","REG","PAX","","","00"
"DR6561","","DR6558","昆明-青岛-沈阳","TAO","SHE","D","B7866","B738","713","","D01-E10","","11:55","","","","33-计划","","2017/6/28","15:00","REG","REG","PAX","","","00"
"FM9540","","FM9539","昆明-温州","","WNZ","D","B5185","B738","","","E11-H20","","12:00","","","","33-计划","","2017/6/28","14:30","REG","REG","PAX","","","00"
"KY8203","","KY8220","昆明-南京","","NKG","D","B5673","B738","","","D01-E10","","12:00","","","","33-计划","","2017/6/28","14:20","REG","REG","PAX","","","00"
"MU5811","","MU5812","昆明-上海","","SHA","D","B7591","B738","318","","E11-H20","","12:00","","","","33-计划","","2017/6/28","14:43","REG","REG","PAX","","","00"
"CA1956","","CA1751","昆明-温州","","WNZ","D","B6024","A319","","","D01-E10","","12:05","","","","33-计划","","2017/6/28","14:32","REG","REG","PAX","","","00"
"CZ3678","","CZ3677","昆明-上海","","PVG","D","B6656","A320","","","D01-E10","","12:05","","","","33-计划","","2017/6/28","14:48","REG","REG","PAX","","","00"
"MU5764","","MU5741","昆明-芒市","","LUM","D","B5225","B737","","","E11-H20","","12:10","","","","33-计划","","2017/6/28","13:01","REG","REG","PAX","","","00"
"UO274","","UO273","昆明-香港","","HKG","R","BLPH","A320","","","J16-J19","","12:10","","","","33-计划","","2017/6/28","","REG","REG","PAX","","","00"
"ZH9562","","ZH9561","昆明-南京","","NKG","D","B5400","B738","","","D01-E10","","12:10","","","","33-计划","","2017/6/28","14:30","REG","REG","PAX","","","00"
"CZ3858","","CZ3857","昆明-汕头","","SWA","D","B5837","B738","","","D01-E10","","12:15","","","","33-计划","","2017/6/28","14:12","REG","REG","PAX","","","00"
"MU5765","","MU5814","昆明-郑州-大连","CGO","DLC","D","B7599","B738","719","","E11-H20","","12:15","","","","33-计划","","2017/6/28","14:32","REG","REG","PAX","","","00"
"CA1752","","CA1955","昆明-杭州","","HGH","D","B6773","A320","","","D01-E10","","12:20","","","","33-计划","","2017/6/28","14:46","REG","REG","PAX","","","00"
"JD5790","","JD5789","昆明-版纳","","JHG","D","B8170","A320","","","D01-E10","","12:20","","","","33-计划","","2017/6/28","13:06","REG","REG","PAX","","","00"
"MF8428","","MF8427","昆明-福州","","FOC","D","B5355","B738","","","D01-E10","","12:20","","","","33-计划","","2017/6/28","14:45","REG","REG","PAX","","","00"
"FD583","","FD582","昆明-廊曼","","DMK","I","HSBBE","A320","","","K01-K04","","12:30","","","","33-计划","","2017/6/28","","REG","REG","PAX","","","00"
"MU9713","","MU5962","昆明-宜宾-武汉","YBP","WUH","D","B2640","B737","","","E11-H20","","12:35","","","","33-计划","","2017/6/28","13:28","REG","REG","PAX","","","00"
"DR6559","","DR6570","昆明-太原-大连","TYN","DLC","D","B1593","B738","","","D01-E10","","12:40","","","","33-计划","","2017/6/28","15:04","REG","REG","PAX","","","00"
"9C8954","","9C8953","昆明-上海","","SHA","D","B6562","A320","","","E04-E05","","12:45","","","","33-计划","","2017/6/28","15:27","REG","REG","PAX","","","00"
"PN6394","","PN6394","昆明-重庆","","CKG","D","B6811","A320","","","D01-E10","","12:45","","","","33-计划","","2017/6/28","13:57","REG","REG","PAX","","","00"
"ZH9266","Y","ZH9265","昆明-西安","","XIY","D","B6568","A320","","","D01-E10","","12:45","","","","33-计划","","2017/6/28","14:37","REG","REG","PAX","","","00"
"SC4874","","SC4873","昆明-济南-烟台","TNA","YNT","D","B1931","B738","","","D01-E10","","12:50","","","","33-计划","","2017/6/28","15:27","REG","REG","PAX","","","00"
"3U8967","","3U8130","昆明-重庆-大连","CKG","DLC","D","B6449","A319","","","C16-C20","","12:55","","","","33-计划","","2017/6/28","14:04","REG","REG","PAX","","","00"
"8L9857","","8L9802","昆明-腾冲","","TCZ","D","B5248","B737","","","A01-C10","","12:55","","","","33-计划","","2017/6/28","13:47","REG","REG","PAX","","","00"
"HO1122","","HO1121","昆明-上海","","SHA","D","B6901","A320","","","D01-E10","","12:55","","","","33-计划","","2017/6/28","15:36","REG","REG","PAX","","","00"
"HU7212","","HU7211","昆明-北京","","PEK","D","B2730","B787","","","D01-E10","","12:55","","","","33-计划","","2017/6/28","15:47","REG","REG","PAX","","","00"
"KY8209","","KY8256","昆明-版纳","","JHG","D","B7871","B737","157","01","D01-E10","","12:55","","","","33-计划","","2017/6/28","13:44","REG","REG","PAX","","","00"
"FM9453","","FM9453","昆明-版纳","","JHG","D","B5261","B737","","","E11-H20","","13:00","","","","33-计划","","2017/6/28","13:48","REG","REG","PAX","","","00"
"MU2035","","MU2035","昆明-达卡","","DAC","I","B6148","B738","","","J04-J05","","13:00","","","","33-计划","","2017/6/28","14:35","REG","REG","PAX","","","00"
"MU5981","","MU9756","昆明-保山","","BSD","D","B5802","B737","","","E11-H20","","13:00","","","","33-计划","","2017/6/28","13:47","REG","REG","PAX","","","00"
"MU741","","MU5740","昆明-曼谷","","BKK","I","B5527","B738","","","J01-J03","","13:00","","","","33-计划","","2017/6/28","15:08","REG","REG","PAX","","","00"
"3U8530","","3U8529","昆明-杭州","","HGH","D","B1883","A320","","","C16-C20","","13:05","","","","33-计划","","2017/6/28","15:28","REG","REG","PAX","","","00"
"MU5741","","MU5852","昆明-广州","","CAN","D","B6249","B738","","","E11-H20","","13:05","","","","33-计划","","2017/6/28","14:47","REG","REG","PAX","","","00"
"8L9923","","8L9850","昆明-保山","","BSD","D","B5823","B737","","","A01-C10","","13:05","","","","33-计划","","2017/6/28","13:51","REG","REG","PAX","","","00"
"DR6501","","DR6508","昆明-芒市","","LUM","D","B6109","B737","","","D01-E10","","13:10","","","","33-计划","","2017/6/28","14:01","REG","REG","PAX","","","00"
