FLT,VIP,LKF,REG,RFC,VI1,DES,TOF,ITY,TAR,GAT,CID,MP1,STD,ETD,ATD,ABT,FSA,RCP,SDT,EAN,POP,OPE,NAT,FLX,MFF,SST,STN
"MU556","","MU5455","B6797","昆明-杭州","","HGH","D","A322","134","32","","","7:05","","","","33-计划","","2017/7/1","9:35","REG","REG","PAX","","","00","9:55"
"MU5921","","MU5884","B5271","昆明-丽江","","LJG","D","B737","114","16","","","7:05","","","","33-计划","","2017/7/1","7:59","REG","REG","PAX","","","00","8:10"
"8L9545","","8L9898","B2677","昆明-太原-大同","TYN","DAT","D","B738","164","12","","","7:10","","","","33-计划","","2017/7/1","9:33","REG","REG","PAX","","","00","10:10"
"8L9585","","8L9870","B7167","昆明-南宁-巴厘岛","NNG","DPS","M","B738","104","","","","7:10","","","","33-计划","","2017/7/1","8:15","REG","REG","PAX","","","00","8:15"
"8L9647","","8L9986","B1825","昆明-淮安-天津","HIA","TSN","D","A320","724","","","","7:10","","","","33-计划","","2017/7/1","9:50","REG","REG","PAX","","","00","10:00"
"8L9865","","8L9972","B5359","昆明-济南","","TNA","D","B738","322","","","","7:10","","","","33-计划","","2017/7/1","9:49","REG","REG","PAX","","","00","10:15"
"8L9957","","8L9884","B6800","昆明-武汉","","WUH","D","B738","168","09","","","7:10","","","","33-计划","","2017/7/1","8:58","REG","REG","PAX","","","00","9:20"
"HU7312","","HU7311","B5416","昆明-北京","","PEK","D","B738","324","","","","7:10","","","","33-计划","","2017/7/1","10:07","REG","REG","PAX","","","00","10:35"
"3U8513","","3U8958","B6732","昆明-重庆-兰州","CKG","ZGC","D","A320","537","","","","7:15","","","","33-计划","","2017/7/1","8:22","REG","REG","PAX","","","00","8:45"
"8L9803","","8L9924","B5249","昆明-丽江","","LJG","D","B737","166","13","","","7:15","","","","33-计划","","2017/7/1","8:06","REG","REG","PAX","","","00","8:15"
