FLT,RFC,REG,VIP,LKF,VI1,ITY,TAR,TOF,FSA,OPE,POP,RCP,NAT,SDT,FLX,MFF,SST,HDL,STA,ORG,ETA,TDT,ATA,ABP,CAR,STP
PN6394,版纳-昆明,B6763,,PN6394,,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 11:45,JHG,,,,,13,2017/6/29 10:45
QG8816,巴厘岛-昆明,,,,,A320,,I,33-计划,REG,REG,,PAX,2017/6/30,,,0,YAG,2017/6/30 3:05,DPS,,,,,3,2017/6/29 21:15
QV815,万象-昆明,RDPL34223,,QV816,,A320,,I,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 9:50,VTE,,,,,3,2017/6/29 7:20
QW9855,青岛-屯溪-昆明,B1693,,,TXN,A320,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,YAG,2017/6/30 0:10,TAO,,,,,,2017/6/29 21:20
SC4695,青岛-南京-昆明,B5526,,SC4696,NKG,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 12:35,TAO,,,,,11,2017/6/29 9:40
SC4719,重庆-昆明,B5725,,SC4720,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 21:30,CKG,,,,,10,2017/6/29 19:55
SC4737,青岛-昆明,B7885,,SC4738,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 20:05,TAO,,,,,10,2017/6/29 16:30
SC4769,厦门-昆明,B7087,,SC4770,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 10:00,XMN,,,,,10,2017/6/29 7:10
SC4859,青岛-昆明,B7978,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,YAG,2017/6/30 1:00,TAO,,,,,13,2017/6/29 21:20
SC4873,烟台-济南-昆明,B1931,,SC4874,TNA,B738,135,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 12:00,YNT,,,,,13,2017/6/29 8:50
SC4925,济南-昆明,B7809,,,,B738,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,YAG,2017/6/30 1:00,TNA,,,,,,2017/6/29 21:45
SC8844,大阪-济南-昆明,B7975,,,TNA,B738,,M,33-计划,REG,REG,,PAX,2017/6/30,,,0,YAG,2017/6/30 0:10,KIX,,,,,15,2017/6/29 20:50
SC8885,乌鲁-昆明,B1745,,SC8885,,B738,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 23:30,URC,,,,,15,2017/6/29 19:20
SC8886,曼谷-昆明,B6988,,SC8886,,B738,,I,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 5:55,BKK,,,,,3,2017/6/29 4:05
TG612,曼谷-清迈-昆明,HS-T,,TG613,CNX,A333,,I,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 14:05,BKK,,,,,3,2017/6/29 11:30
TV6007,兰州-丽江-昆明,B8841,,TV6008,LJG,A320,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 11:45,ZGC,,,,,14,2017/6/29 10:45
TV9820,芒市-昆明,B6473,,TV9894,,A319,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 17:50,LUM,,,,,12,2017/6/29 16:45
TV9893,拉萨-昆明,B6473,,TV9819,,A319,,D,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 13:25,LXA,,,,,12,2017/6/29 11:00
UO273,香港-昆明,,,,,A322,,R,33-计划,REG,REG,,PAX,2017/6/29,,,0,YAG,2017/6/29 11:05,HKG,,,,,3,2017/6/29 9:20
UW9942,达卡-昆明,B2325,,UW9941,,A306,,I,33-计划,REG,REG,,CGO,2017/6/29,,,0,YAG,2017/6/29 9:40,DAC,,,,,,2017/6/29 7:40
UW9948,马德拉斯-昆明,B2330,,UW9947,,A306,,I,33-计划,REG,REG,,CGO,2017/6/29,,,0,YAG,2017/6/29 5:50,MAA,,,,,,2017/6/29 2:00
VJ5324,芽庄-昆明,,,,,A320,,D,33-计划,REG,REG,,PAX,2017/6/30,,,0,YAG,2017/6/30 0:55,CXR,,,,,11,
VN736,芽庄-昆明,,,VN737,,A321,,I,33-计划,REG,REG,,PAX,2017/6/30,,,0,CES,2017/6/30 1:05,CXR,,,,,2,2017/6/30 0:25
