昆明机场飞行动态,,,,,
,,,,,2017年06月18日
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
388,JD5156,B6952,昆明/1605,/,丽江
389,JD5157,B8678,杭州/0955,/,昆明
390,JD5158,B8678,昆明/1430,/,杭州
391,JD5165,B6245,丽江/0940,/,昆明
392,JD5166,B6245,昆明/1550,/,丽江
393,JD5789,B8169,版纳/1005,/,昆明
394,JD5790,B8169,昆明/1220,/,版纳
395,JD5791,B6245,昆明/1145,/,芒市
396,JD5792,B6245,芒市/1340,/,昆明
397,KA760,,香港/0800,/,昆明
398,KA760,,香港/1155,/,昆明
399,KA761,,昆明/0800,/,香港
400,KA761,,昆明/1530,/,香港
401,KE885,,首尔仁川/1830,/,昆明
402,KE886,,昆明/2355,/,首尔仁川
403,KN2381,B5547,石家庄/0650,/,昆明
404,KN2382,B1751,昆明/2055,/,石家庄
405,KN5211,B1751,汉中/1755,/,昆明
406,KN5212,B5547,昆明/1110,/,汉中
407,KY8203,B5673,昆明/1200,/,南京
408,KY8204,B5673,南京/1600,/,昆明
409,KY8205,B5025,昆明/0905,/,济南
410,KY8206,B5025,济南/1955,/,昆明
411,KY8209,B7870,昆明/1255,/,版纳
412,KY8210,B7870,版纳/2220,/,昆明
413,KY8219,B5673,昆明/2125,/,深圳
414,KY8220,B5673,深圳/0830,/,昆明
415,KY8221,B6493,昆明/1725,/,重庆
416,KY8222,B6493,重庆/2005,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
417,KY8229,B2679,昆明/0800,/,腾冲
418,KY8230,B2679,腾冲/1620,/,昆明
419,KY8231,B7872,昆明/1640,/,丽江
420,KY8232,B7872,丽江/2345,/,昆明
421,KY8233,B1991,昆明/1355,/,太原
422,KY8234,B1507,太原/2000,/,昆明
423,KY8235,B2669,昆明/0815,/,杭州
424,KY8236,B2669,杭州/1215,/,昆明
425,KY8239,B5702,昆明/1620,/,青岛
426,KY8240,B5702,青岛/2050,/,昆明
427,KY8243,B2679,昆明/1815,/,普洱
428,KY8244,B2679,普洱/1950,/,昆明
429,KY8245,B5026,昆明/1310,/,芒市
430,KY8246,B5026,芒市/1450,/,昆明
431,KY8247,B2679,昆明/2155,/,芒市
432,KY8248,B2679,芒市/2345,/,昆明
433,KY8249,B7871,昆明/2010,/,丽江
434,KY8250,B7871,版纳/2335,/,昆明
435,KY8251,B7870,昆明/0800,/,保山
436,KY8252,B7870,保山/0940,/,昆明
437,KY8253,B1926,昆明/0810,/,西安
438,KY8254,B1926,西安/1120,/,昆明
439,KY8255,B7872,昆明/0900,/,临沧
440,KY8256,B7872,临沧/1055,/,昆明
441,KY8257,B5702,昆明/0825,/,郑州
442,KY8258,B5702,郑州/1210,/,昆明
443,KY8261,B7873,昆明/0700,/,重庆
444,KY8262,B7873,重庆/1610,/,昆明
445,KY8265,B2669,昆明/1650,/,杭州
446,KY8266,B2669,杭州/2055,/,昆明
447,KY8269,B2678,昆明/1910,/,丽江
448,KY8270,B2678,版纳/2255,/,昆明
449,KY8273,B6493,昆明/1020,/,武汉
450,KY8274,B6493,武汉/1340,/,昆明
451,KY8275,B6492,昆明/1410,/,济南
452,KY8276,B6492,济南/1905,/,昆明
453,KY8281,B1926,昆明/1440,/,上海
454,KY8282,B1926,上海/1915,/,昆明
455,KY8283,B6491,昆明/0740,/,上海
456,KY8284,B6491,上海/1155,/,昆明
457,KY8285,B5672,昆明/2240,/,广州
458,KY8286,B6493,广州/0645,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
459,KY8295,B5672,昆明/0705,/,重庆
460,KY8296,B5672,重庆/1620,/,昆明
461,KY8297,B6495,昆明/0940,/,石家庄
462,KY8298,B6495,石家庄/2010,/,昆明
463,KY8301,B5026,昆明/1840,/,惠州
464,KY8302,B5026,惠州/2130,/,昆明
465,KY8307,B6491,昆明/1650,/,南昌
466,KY8308,B1991,南昌/0940,/,昆明
467,KY8313,B2678,昆明/0800,/,腾冲
468,KY8314,B2678,腾冲/1650,/,昆明
469,KY8315,B7871,昆明/0720,/,腾冲
470,KY8316,B7871,腾冲/1805,/,昆明
471,KY8321,B6492,昆明/0815,/,成都
472,KY8322,B6492,成都/1045,/,昆明
473,KY8333,B7089,昆明/1000,/,西安
474,KY8334,B7089,西安/2145,/,昆明
475,KY8341,B2667,昆明/0915,/,厦门
476,KY8342,B2667,厦门/1915,/,昆明
477,MF8405,B5309,厦门/0805,/,昆明
478,MF8406,B5309,昆明/1150,/,厦门
479,MF8417,B5563,厦门/1200,/,昆明
480,MF8418,B5563,昆明/1540,/,厦门
481,MF8427,B5308,福州/0805,/,昆明
482,MF8428,B5308,昆明/1220,/,福州
483,MF8429,B5389,厦门/2100,/,昆明
484,MF8430,B5563,昆明/0805,/,厦门
485,MF8461,B7176,武汉/1605,/,昆明
486,MF8462,B7176,昆明/1915,/,武汉
487,MF8475,B5308,福州/1555,/,昆明
488,MF8476,B1709,昆明/2015,/,福州
489,MF8641,B1709,珠海/1705,/,昆明
490,MF8642,B5308,昆明/2010,/,珠海
491,MU2003,B7170,昆明/1000,/,首尔仁川
492,MU2004,B7170,首尔仁川/1515,/,昆明
493,MU2029,B5647,昆明/1445,/,曼德勒
494,MU2030,B1908,曼德勒/1315,/,昆明
495,MU2031,B6149,昆明/1400,/,仰光
496,MU2032,B6149,仰光/1725,/,昆明
497,MU2035,B6143,北京/0755,昆明/1300,达卡
498,MU2036,B6143,达卡/1635,昆明/2030,北京
499,MU203T,B6146,达卡/1000,/,昆明
500,MU2143,B5257,太原/0735,/,昆明
序号,航班号,机号,"起飞机场/
起飞时刻","经停机场/
起飞时刻",目的机场
501,MU2144,B5257,昆明/1940,/,太原
502,MU215,B5962,昆明/0910,/,南京
503,MU2177,B8570,宁波/1415,/,昆明
504,MU2178,B8570,昆明/1825,/,宁波
505,MU2181,B1608,西安/0750,/,昆明
506,MU2182,B1608,昆明/1115,/,西安
507,MU2185,B9943,银川/1515,/,昆明
508,MU2186,B9943,昆明/1905,/,银川
509,MU2205,B9943,银川/0740,/,昆明
510,MU2206,B9943,昆明/1135,/,银川
511,MU2207,B6875,西安/1445,/,昆明
512,MU2208,B6875,昆明/1810,/,西安
513,MU2245,B2378,西宁/1950,/,昆明
514,MU2246,B2378,昆明/2315,/,西宁
515,MU2249,B2209,兰州/0715,/,昆明
516,MU2250,B2209,昆明/1035,/,兰州
517,MU2263,B6145,昆明/0945,/,西安
518,MU2264,B6145,西安/2100,/,昆明
519,MU2359,B6876,西宁/0705,/,昆明
520,MU2360,B6876,昆明/1020,/,西宁
521,MU2433,B2333,宜昌/1700,/,昆明
522,MU2434,B2333,昆明/2020,/,宜昌
523,MU2485,B1910,武汉/1200,/,昆明
524,MU2486,B1910,昆明/1525,/,武汉
525,MU2493,B1537,武汉/1955,/,昆明
526,MU2494,B1537,昆明/1120,/,武汉
527,MU2495,B5199,成都/0755,/,昆明
528,MU2496,B5199,昆明/1040,/,成都
529,MU2497,B1537,武汉/0755,/,昆明
530,MU2498,B1537,昆明/2320,/,武汉
531,MU2565,B5231,昆明/1410,/,南宁
532,MU2566,B5231,南宁/2055,/,昆明
533,MU2567,B1908,广州/0630,昆明/1030,曼德勒
534,MU2568,B5647,曼德勒/1730,昆明/2200,广州
535,MU2571,B5256,昆明/1605,/,加德
536,MU2572,B5256,加德/2020,/,昆明
537,MU2573,B1789,北京/0910,昆明/1430,万象
538,MU2574,B1789,万象/1715,昆明/2030,北京
539,MU2589,B1791,昆明/0805,/,万象
